ID,Frakce,Název,Typ,Cena,Atk,HP,AI_Text,Visual_Subject,FULL_PROMPT
14,Wild,SNAKE OIL,Spell,2,-,-,Fully heal a Unit.,vintage medicine bottle labelled snake oil,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of vintage medicine bottle labelled snake oil western style. Bottom half: beige text box. Text 1: Title "SNAKE OIL" in bold western font. Text 2: Description "Fully heal a Unit". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
15,Wild,BEAR TRAP,Spell,2,-,-,Deal 3 damage to an undamaged Unit.,rusted metal bear trap on leaves,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of rusted metal bear trap on leaves western style. Bottom half: beige text box. Text 1: Title "BEAR TRAP" in bold western font. Text 2: Description "Deal 3 damage to an undamaged Unit". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
16,Mythos,NIGHT FOLK,Unit,3,3,3,Has +2/+2 if you have less Health than opponent.,scary man with white face paint in swamp,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of scary man with white face paint in swamp western style. Bottom half: beige text box. Text 1: Title "NIGHT FOLK" in bold western font. Text 2: Description "Has +2/+2 if you have less HP". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
17,Mythos,VAMPIRE,Unit,4,3,4,Lethal. Restore Health to your Hero equal to damage dealt.,nosferatu vampire in dark alley,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of nosferatu vampire in dark alley western style. Bottom half: beige text box. Text 1: Title "VAMPIRE" in bold western font. Text 2: Description "Lethal. Heals Hero for damage dealt". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
18,Mythos,GHOST TRAIN,Unit,5,8,8,Ambush. Last Word: Shuffle this into your deck. Dies at end of turn.,glowing spectral train in fog,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of glowing spectral train in fog western style. Bottom half: beige text box. Text 1: Title "GHOST TRAIN" in bold western font. Text 2: Description "Ambush. Dies at end of turn". Top-Left Corner: Circle with number "5". Bottom-Left: Shield icon with "8". Bottom-Right: Heart icon with "8". Style: Worn paper texture antique aesthetic masterpiece.
19,Mythos,OPEN GRAVE,Spell,2,-,-,Return a dead Unit to your hand.,open grave in cemetery with fog,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of open grave in cemetery with fog western style. Bottom half: beige text box. Text 1: Title "OPEN GRAVE" in bold western font. Text 2: Description "Return a dead Unit to your hand". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
20,Mythos,CURSED MASK,Gear,2,-,-,Give a Unit +3/+3. Deal 3 damage to your Hero.,strange wooden aztec mask,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of strange wooden aztec mask western style. Bottom half: beige text box. Text 1: Title "CURSED MASK" in bold western font. Text 2: Description "Give +3/+3. Deal 3 dmg to Hero". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
21,Saloon,BARTENDER,Unit,2,1,4,End of Turn: Heal 1 damage from another random Ally.,bartender cleaning a glass,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of bartender cleaning a glass western style. Bottom half: beige text box. Text 1: Title "BARTENDER" in bold western font. Text 2: Description "End of Turn: Heal 1 to random Ally". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "1". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
22,Saloon,LUCKY COIN,Spell,0,-,-,50% Chance to gain 1 Grit.,gold coin flipping in air,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of gold coin flipping in air western style. Bottom half: beige text box. Text 1: Title "LUCKY COIN" in bold western font. Text 2: Description "50% Chance to gain 1 Grit". Top-Left Corner: Circle with number "0". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
23,Saloon,BAR FIGHT,Spell,4,-,-,Deal 2 damage to ALL Units.,chaotic saloon brawl with chairs,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of chaotic saloon brawl with chairs western style. Bottom half: beige text box. Text 1: Title "BAR FIGHT" in bold western font. Text 2: Description "Deal 2 damage to ALL Units". Top-Left Corner: Circle with number "4". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
24,Law,GATLING GUN,Gear,5,-,-,Give a Unit +3 Attack. It also damages neighbors of target.,gatling gun on wheels,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of gatling gun on wheels western style. Bottom half: beige text box. Text 1: Title "GATLING GUN" in bold western font. Text 2: Description "Give +3 Atk. Hits neighbors too". Top-Left Corner: Circle with number "5". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
25,Outlaw,SAFECRACKER,Unit,2,2,2,Battlecry: Silence an enemy Unit (Remove keywords).,thief listening to safe lock,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of thief listening to safe lock western style. Bottom half: beige text box. Text 1: Title "SAFECRACKER" in bold western font. Text 2: Description "Battlecry: Silence a Unit". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "2". Bottom-Right: Heart icon with "2". Style: Worn paper texture antique aesthetic masterpiece.
26,Law,THE HANGMAN,Unit,5,5,4,Battlecry: Destroy a damaged Unit.,executioner standing by gallows,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of executioner standing by gallows western style. Bottom half: beige text box. Text 1: Title "THE HANGMAN" in bold western font. Text 2: Description "Battlecry: Destroy a damaged Unit". Top-Left Corner: Circle with number "5". Bottom-Left: Shield icon with "5". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
27,Law,OIL TYCOON,Unit,4,1,5,End of Turn: Gain +1 Grit.,wealthy tycoon smoking cigar,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of wealthy tycoon smoking cigar western style. Bottom half: beige text box. Text 1: Title "OIL TYCOON" in bold western font. Text 2: Description "End of Turn: Gain +1 Grit". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "1". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
28,Law,RAILROAD BOSS,Unit,3,3,3,Battlecry: Give a Landmark +3 Health.,railroad foreman shouting orders,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of railroad foreman shouting orders western style. Bottom half: beige text box. Text 1: Title "RAILROAD BOSS" in bold western font. Text 2: Description "Battlecry: Give a Landmark +3 HP". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
29,Law,DEPUTY SQUAD,Unit,4,3,3,Battlecry: Summon a copy of this unit.,group of deputies with rifles,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of group of deputies with rifles western style. Bottom half: beige text box. Text 1: Title "DEPUTY SQUAD" in bold western font. Text 2: Description "Battlecry: Summon a copy". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
30,Law,CELL DOOR,Spell,2,-,-,Return a Unit to its owner's hand.,iron jail cell door,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of iron jail cell door western style. Bottom half: beige text box. Text 1: Title "CELL DOOR" in bold western font. Text 2: Description "Return a Unit to owner's hand". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
31,Law,TELEGRAPH,Unit,2,1,2,Battlecry: Draw 1 card.,telegraph operator working,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of telegraph operator working western style. Bottom half: beige text box. Text 1: Title "TELEGRAPH" in bold western font. Text 2: Description "Battlecry: Draw 1 card". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "1". Bottom-Right: Heart icon with "2". Style: Worn paper texture antique aesthetic masterpiece.
32,Law,SNIPER,Unit,4,4,2,Immune while attacking.,lawman aiming rifle from roof,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of lawman aiming rifle from roof western style. Bottom half: beige text box. Text 1: Title "SNIPER" in bold western font. Text 2: Description "Immune while attacking". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "4". Bottom-Right: Heart icon with "2". Style: Worn paper texture antique aesthetic masterpiece.
33,Law,COURTHOUSE,Landmark,4,0,6,Your units have +1 Health.,courthouse building with clock,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of courthouse building with clock western style. Bottom half: beige text box. Text 1: Title "COURTHOUSE" in bold western font. Text 2: Description "Your units have +1 Health". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "6". Style: Worn paper texture antique aesthetic masterpiece.
34,Outlaw,TRAIN ROBBER,Unit,3,4,3,Last Word: Add a 'Coin' to your hand.,bandit jumping on train,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of bandit jumping on train western style. Bottom half: beige text box. Text 1: Title "TRAIN ROBBER" in bold western font. Text 2: Description "Last Word: Add a Coin to hand". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "4". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
35,Outlaw,GANG LEADER,Unit,6,6,5,Your other Outlaws have Ambush.,charismatic gang leader smiling,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of charismatic gang leader smiling western style. Bottom half: beige text box. Text 1: Title "GANG LEADER" in bold western font. Text 2: Description "Your other Outlaws have Ambush". Top-Left Corner: Circle with number "6". Bottom-Left: Shield icon with "6". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
36,Outlaw,POKER CHEAT,Unit,3,3,3,Battlecry: Discard 1 card, then Draw 1 card.,card player hiding ace in sleeve,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of card player hiding ace in sleeve western style. Bottom half: beige text box. Text 1: Title "POKER CHEAT" in bold western font. Text 2: Description "Battlecry: Discard 1, Draw 1". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
37,Outlaw,KNIFE THROWER,Unit,2,3,1,Battlecry: Deal 1 damage to a random enemy.,man throwing knife at target,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of man throwing knife at target western style. Bottom half: beige text box. Text 1: Title "KNIFE THROWER" in bold western font. Text 2: Description "Battlecry: Deal 1 damage random". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "1". Style: Worn paper texture antique aesthetic masterpiece.
38,Outlaw,GUNSLINGER,Unit,4,3,4,Can attack twice per turn.,woman gunslinger with two guns,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of woman gunslinger with two guns western style. Bottom half: beige text box. Text 1: Title "GUNSLINGER" in bold western font. Text 2: Description "Can attack twice per turn". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
39,Outlaw,GETAWAY HORSE,Spell,1,-,-,Return a friendly Unit to hand. Give it +2/+2.,saddled horse galloping away,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of saddled horse galloping away western style. Bottom half: beige text box. Text 1: Title "GETAWAY HORSE" in bold western font. Text 2: Description "Return friendly Unit to hand +2/+2". Top-Left Corner: Circle with number "1". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
40,Outlaw,JAILBREAK,Spell,4,-,-,Summon a random Outlaw from your graveyard.,broken prison window with rope,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of broken prison window with rope western style. Bottom half: beige text box. Text 1: Title "JAILBREAK" in bold western font. Text 2: Description "Summon random Outlaw from grave". Top-Left Corner: Circle with number "4". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
41,Outlaw,DEAD MANS HAND,Spell,3,-,-,Discard your hand. Draw 3 cards.,poker cards aces and eights,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of poker cards aces and eights western style. Bottom half: beige text box. Text 1: Title "DEAD MANS HAND" in bold western font. Text 2: Description "Discard hand. Draw 3 cards". Top-Left Corner: Circle with number "3". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
42,Wild,EAGLE,Unit,2,2,1,Battlecry: Reveal the enemy's hand.,eagle flying over canyon,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of eagle flying over canyon western style. Bottom half: beige text box. Text 1: Title "EAGLE" in bold western font. Text 2: Description "Battlecry: Reveal enemy hand". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "2". Bottom-Right: Heart icon with "1". Style: Worn paper texture antique aesthetic masterpiece.
43,Wild,WHITE BISON,Unit,6,4,8,Can't be targeted by Spells or Hero Powers.,white bison grazing on prairie,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of white bison grazing on prairie western style. Bottom half: beige text box. Text 1: Title "WHITE BISON" in bold western font. Text 2: Description "Can't be targeted by Spells". Top-Left Corner: Circle with number "6". Bottom-Left: Shield icon with "4". Bottom-Right: Heart icon with "8". Style: Worn paper texture antique aesthetic masterpiece.
44,Wild,TRAPPER,Unit,3,3,3,Battlecry: Add a 'Bear Trap' to your hand.,fur trapper skinning deer,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of fur trapper skinning deer western style. Bottom half: beige text box. Text 1: Title "TRAPPER" in bold western font. Text 2: Description "Battlecry: Add Bear Trap to hand". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
45,Wild,SCOUT,Unit,2,2,3,Battlecry: Gain an empty Grit crystal.,native american looking at tracks,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of native american looking at tracks western style. Bottom half: beige text box. Text 1: Title "SCOUT" in bold western font. Text 2: Description "Battlecry: Gain empty Grit". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "2". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
46,Wild,SHAMAN,Unit,4,2,5,Battlecry: Restore 4 Health to your Hero.,shaman holding ceremonial staff,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of shaman holding ceremonial staff western style. Bottom half: beige text box. Text 1: Title "SHAMAN" in bold western font. Text 2: Description "Battlecry: Restore 4 HP to Hero". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "2". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
47,Wild,MUSTANG,Unit,3,3,1,Ambush,wild horse rearing up,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of wild horse rearing up western style. Bottom half: beige text box. Text 1: Title "MUSTANG" in bold western font. Text 2: Description "Ambush". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "1". Style: Worn paper texture antique aesthetic masterpiece.
48,Wild,THUNDERSTORM,Spell,4,-,-,Deal 2 damage to all enemy Units.,lightning storm over plains,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of lightning storm over plains western style. Bottom half: beige text box. Text 1: Title "THUNDERSTORM" in bold western font. Text 2: Description "Deal 2 damage to all enemies". Top-Left Corner: Circle with number "4". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
49,Mythos,STRANGE MAN,Unit,5,3,3,Battlecry: Copy a friendly Unit's Attack and Health.,mysterious man in top hat,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of mysterious man in top hat western style. Bottom half: beige text box. Text 1: Title "STRANGE MAN" in bold western font. Text 2: Description "Battlecry: Copy friendly Unit stats". Top-Left Corner: Circle with number "5". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
50,Mythos,VOODOO ALTAR,Landmark,3,0,5,At the start of your turn, deal 1 damage to a random enemy.,voodoo skulls and candles,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of voodoo skulls and candles western style. Bottom half: beige text box. Text 1: Title "VOODOO ALTAR" in bold western font. Text 2: Description "Start of turn: Deal 1 dmg random". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
51,Mythos,SASQUATCH,Unit,7,8,8,Stealth,bigfoot hiding behind tree,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of bigfoot hiding behind tree western style. Bottom half: beige text box. Text 1: Title "SASQUATCH" in bold western font. Text 2: Description "Stealth". Top-Left Corner: Circle with number "7". Bottom-Left: Shield icon with "8". Bottom-Right: Heart icon with "8". Style: Worn paper texture antique aesthetic masterpiece.
52,Mythos,UFO,Spell,8,-,-,Destroy ALL Units.,flying saucer in night sky,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of flying saucer in night sky western style. Bottom half: beige text box. Text 1: Title "U.F.O." in bold western font. Text 2: Description "Destroy ALL Units". Top-Left Corner: Circle with number "8". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
53,Mythos,BLIND SEER,Unit,2,1,2,Battlecry: Discover a card from your deck (Look at 3, draw 1).,blind woman reading cards,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of blind woman reading cards western style. Bottom half: beige text box. Text 1: Title "BLIND SEER" in bold western font. Text 2: Description "Battlecry: Discover a card". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "1". Bottom-Right: Heart icon with "2". Style: Worn paper texture antique aesthetic masterpiece.
54,Mythos,ANCIENT BONES,Unit,3,5,5,Can't Attack unless it's the only Unit you control.,giant dinosaur bones in rock,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of giant dinosaur bones in rock western style. Bottom half: beige text box. Text 1: Title "ANCIENT BONES" in bold western font. Text 2: Description "Can't Attack unless alone". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "5". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
55,Mythos,BLOOD RITUAL,Spell,1,-,-,Deal 3 damage to your Hero. Gain 2 Grit.,pentagram drawn in blood,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of pentagram drawn in blood western style. Bottom half: beige text box. Text 1: Title "BLOOD RITUAL" in bold western font. Text 2: Description "Deal 3 dmg to Hero. Gain 2 Grit". Top-Left Corner: Circle with number "1". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
56,Mythos,CREEPY DOLL,Gear,2,-,-,Give a Unit -3 Attack.,porcelain doll on rocking chair,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of porcelain doll on rocking chair western style. Bottom half: beige text box. Text 1: Title "CREEPY DOLL" in bold western font. Text 2: Description "Give a Unit -3 Attack". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
57,Mythos,DEVILS CAVE,Landmark,4,0,5,End of Turn: Summon a 1/1 Bat.,dark cave entrance with bats,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of dark cave entrance with bats western style. Bottom half: beige text box. Text 1: Title "DEVILS CAVE" in bold western font. Text 2: Description "End of Turn: Summon 1/1 Bat". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
58,Mythos,SWAMP WITCH,Unit,5,3,4,Battlecry: Set a Unit's Attack to 1.,old witch holding herbs,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of old witch holding herbs western style. Bottom half: beige text box. Text 1: Title "SWAMP WITCH" in bold western font. Text 2: Description "Battlecry: Set Unit Atk to 1". Top-Left Corner: Circle with number "5". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
59,Saloon,SUPPLY WAGON,Unit,4,0,5,Last Word: Draw 2 cards.,wooden wagon with barrels,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of wooden wagon with barrels western style. Bottom half: beige text box. Text 1: Title "SUPPLY WAGON" in bold western font. Text 2: Description "Last Word: Draw 2 cards". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
60,Saloon,LOAN SHARK,Unit,3,4,4,Battlecry: Deal 3 damage to your Hero.,sinister man counting coins,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of sinister man counting coins western style. Bottom half: beige text box. Text 1: Title "LOAN SHARK" in bold western font. Text 2: Description "Battlecry: Deal 3 dmg to Hero". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "4". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
61,Neutral,GENERAL STORE,Landmark,2,0,4,Your Gear cards cost (1) less.,wooden frontier general store front,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of wooden frontier general store front western style. Bottom half: beige text box. Text 1: Title "GENERAL STORE" in bold western font. Text 2: Description "Your Gear cards cost (1) less". Top-Left Corner: Circle with number "2". Bottom-Left: Shield icon with "0". Bottom-Right: Heart icon with "4". Style: Worn paper texture antique aesthetic masterpiece.
